arch_id;clim_id;era_median;era_avg;tot_buildings;energy_specific;constr_period;build_type;area_typology;canton;hvac_system;arch_entry_org_id;hvac_system_org;dhw_decentral;dhw_daily_energy;dhw_storage_decentral;dhw_power_decentral;p_therm_heating;enable_borehole;ht_temp_level;enable_gas;enable_district_heat;p_dhw_cent;p_therm_tot;sys_enable_dh;sys_enable_hpaw;sys_enable_hpbw;sys_enable_wood;sys_enable_electro;sys_enable_gas;sys_enable_oil;n_dhw_cent;roof_era;era_roof_new;arch_entry_id
407;15023;110;110;1;191;1920;SFH;Rural;NE;Oil;1030392;Oil;0;4.219178082;0;0;14.13946881;0;0;0;0;0.22;14.35946881;0;1;0;1;0;0;1;0.785714286;15.4;47.6;1030392
3962;920;433;517.25;4;78;1990;MFH;Rural;LU;Oil;1226166;Oil;0;29.75958904;0;0;21.2214234;1;1;0;1;1.55175;22.7731734;1;1;1;1;0;0;1;3.694642857;258.625;107.3333333;1226166
2511;6884;184;191.76;16;115;1960;SFH;Suburban;TI;Oil;1148983;Oil;0;7.355178082;0;0;13.04596329;1;1;1;1;0.38352;13.42948329;1;1;1;1;0;1;1;1.369714286;95.88;86.98421053;1310946
5663;5776;224.5;224.5;2;57;2010;SFH;Suburban;FR;Gas;1300476;Gas;0;8.610958904;0;0;6.965903305;0;0;1;0;0.449;7.414903305;0;1;0;1;0;1;0;1.603571429;62.86;74.9;1300476
509;1665;138;154.9090909;8;121;1920;SFH;Suburban;BL;Wood;1044460;Wood;0;5.941718555;0;0;9.490558342;0;1;1;1;0.309818182;9.800376524;1;1;0;1;0;1;0;1.106493506;21.68727273;92.50606064;1320270
4945;9704;183;183;2;77;2000;SFH;Rural;SG;Wood;1272573;Wood;0;7.019178082;0;0;7.552604291;0;0;0;0;0.366;7.918604291;0;1;0;1;0;0;0;1.307142857;51.24;75.25;1272573
4468;10500;146;146;1;77;1990;SFH;Suburban;VD;Gas;1253269;Gas;0;5.6;0;0;7.361721646;0;0;1;0;0.292;7.653721646;0;1;0;1;0;1;0;1.042857143;73;67.2;1253269
3588;7370;126;170.6666667;3;125;1980;SFH;Rural;BE;Electro;1198268;Electro;1;6.546118721;9.819178082;1.63652968;10.92039073;1;0;0;1;0;10.92039073;1;1;1;1;0;0;0;1.219047619;42.66666667;44.33333333;1198268
4346;10523;195;195;1;105;1990;SFH;Rural;VS;Electro;1245415;Electro;1;7.479452055;11.21917808;1.869863014;12.71125797;0;0;0;0;0;12.71125797;0;1;0;1;0;0;0;1.392857143;97.5;39.66666667;1245415
1952;4026;130;130;1;133;1950;SFH;Urban;SG;Wood;1122003;Wood;0;4.98630137;0;0;10.71354228;0;0;0;0;0.26;10.97354228;0;1;0;1;0;0;0;0.928571429;26;49;1122003
5597;2566;92;92;1;57;2010;SFH;Rural;TG;Electro;1297375;Electro;1;3.528767123;5.293150685;0.882191781;2.831805524;0;0;0;0;0;2.831805524;0;1;0;1;0;0;0;0.657142857;25.76;59.5;1297375
1006;15854;121;121;1;129;1945;SFH;Rural;AG;Wood;1066843;Wood;0;4.64109589;0;0;9.545061024;0;0;0;0;0.242;9.787061024;0;1;0;1;0;0;0;0.864285714;60.5;36.75;1066843
2209;385;1110;831.2;5;91;1960;MFH;Suburban;ZH;Oil;1129604;Oil;0;47.82246575;0;0;43.35931409;0;1;1;0;2.4936;45.85291409;0;1;0;1;0;1;1;5.937142857;415.6;110.5319445;1129604
4147;3480;665;665;2;74;1990;MFH;Suburban;VS;Oil;1231122;Oil;0;38.26027397;0;0;20.67202369;0;0;0;0;1.995;22.66702369;0;1;0;1;0;0;1;4.75;332.5;154.175;1231122
2936;10771;103;103;1;169;1970;SFH;Rural;BE;Wood;1165553;Wood;0;3.950684932;0;0;11.61523388;0;0;0;0;0.206;11.82123388;0;1;0;1;0;0;0;0.735714286;51.5;26.83333333;1165553
1767;3386;120.5;128;8;144;1950;SFH;Rural;VS;Oil;1110364;Oil;0;4.909589041;0;0;10.16696749;1;1;0;1;0.256;10.42296749;1;1;1;1;0;0;1;0.914285714;25.6;40.15454545;1110364
1083;6070;138;128.0833333;12;117;1945;SFH;Rural;SG;Oil;1074463;Oil;1;4.912785388;7.369178082;1.228196347;8.126646747;1;1;0;1;0;8.126646747;1;1;1;1;0;0;1;0.914880952;64.04166667;77.49999999;1074463
